id,file,extension,label
1,00-Front Binding,pdf,Front cover
2,00-001,pdf,Initial enclosure page 1
3,00-002,pdf,Initial enclosure page 2
4,00-003,pdf,Initial enclosure page 3
5,00-004,pdf,Initial enclosure page 4
6,00-005,pdf,Initial enclosure page 5
7,00-006,pdf,Initial enclosure page 6
8,00-007,pdf,Initial enclosure page 7
9,00-008,pdf,Initial enclosure page 8
10,00-009,pdf,Initial enclosure page 9
11,00-010,pdf,Initial enclosure page 10
12,00-011,pdf,Initial enclosure page 11
13,00-012,pdf,Initial enclosure page 12
14,00-013,pdf,Initial enclosure page 13
15,00-014,pdf,Initial enclosure page 14
16,00-015,pdf,Initial enclosure page 15
17,01-001,pdf,Main content page spread no. 1
18,01-002,pdf,Main content page spread no. 2
19,01-003,pdf,Main content page spread no. 3
20,01-004,pdf,Main content page spread no. 4
21,01-005,pdf,Main content page spread no. 5
22,01-006,pdf,Main content page spread no. 6
23,01-007,pdf,Main content page spread no. 7
24,01-008,pdf,Main content page spread no. 8
25,01-009,pdf,Main content page spread no. 9
26,01-010,pdf,Main content page spread no. 10
27,01-011,pdf,Main content page spread no. 11
28,01-012,pdf,Main content page spread no. 12
29,01-013,pdf,Main content page spread no. 13
30,01-014,pdf,Main content page spread no. 14
31,01-015,pdf,Main content page spread no. 15
32,01-016,pdf,Main content page spread no. 16
33,01-017,pdf,Main content page spread no. 17
34,01-018,pdf,Main content page spread no. 18
35,01-019,pdf,Main content page spread no. 19
36,01-020,pdf,Main content page spread no. 20
37,01-021,pdf,Main content page spread no. 21
38,01-022,pdf,Main content page spread no. 22
39,01-023,pdf,Main content page spread no. 23
40,01-024,pdf,Main content page spread no. 24
41,01-025,pdf,Main content page spread no. 25
42,01-026,pdf,Main content page spread no. 26
43,01-027,pdf,Main content page spread no. 27
44,01-028,pdf,Main content page spread no. 28
45,01-029,pdf,Main content page spread no. 29
46,01-030,pdf,Main content page spread no. 30
47,01-031,pdf,Main content page spread no. 31
48,01-032,pdf,Main content page spread no. 32
49,01-033,pdf,Main content page spread no. 33
50,01-034,pdf,Main content page spread no. 34
51,01-035,pdf,Main content page spread no. 35
52,01-036,pdf,Main content page spread no. 36
53,01-037,pdf,Main content page spread no. 37
54,01-038,pdf,Main content page spread no. 38
55,01-039,pdf,Main content page spread no. 39
56,01-040,pdf,Main content page spread no. 40
57,01-041,pdf,Main content page spread no. 41
58,01-042,pdf,Main content page spread no. 42
59,01-043,pdf,Main content page spread no. 43
60,01-044,pdf,Main content page spread no. 44
61,01-045,pdf,Main content page spread no. 45
62,01-046,pdf,Main content page spread no. 46
63,01-047,pdf,Main content page spread no. 47
64,01-048,pdf,Main content page spread no. 48
65,01-049,pdf,Main content page spread no. 49
66,01-050,pdf,Main content page spread no. 50
